Email,Phone,CreditScore,AgeGroup,FamilyBackground,Income,Profession,CompanyType,City,Comment,LeadIntent
user0@gmail.com,+91-7608637542,643,51+,Married with Kids,722661,Teacher,MNC,Bangalore,keen to buy,0
user1@yahoo.com,+91-9421126067,578,51+,Single,816593,Manager,Startup,Mumbai,keen to buy,0
user2@gmail.com,+91-6787846414,508,36-50,Married,318605,Unemployed,MNC,Bangalore,no time,0
user3@yahoo.com,+91-9143890026,634,26-35,Single,263663,Engineer,MNC,Ahmedabad,maybe later,0
user4@yahoo.com,+91-9348747335,587,18-25,Married with Kids,718199,Manager,MNC,Delhi,no time,0
user5@gmail.com,+91-8571218620,551,26-35,Married,634330,Freelancer,Startup,Mumbai,call me,1
user6@outlook.com,+91-8563451924,564,51+,Single,251775,Sales Rep,Startup,Ahmedabad,ready to close,0
user7@outlook.com,+91-6670094950,570,51+,Married,253417,Unemployed,Self-employed,Ahmedabad,interested,0
user8@gmail.com,+91-7914837113,718,26-35,Single,373214,Unemployed,MNC,Pune,no time,0
user9@testmail.com,+91-6669991378,510,26-35,Single,439224,Sales Rep,Startup,Pune,price too high,0
user10@outlook.com,+91-6429389014,664,26-35,Married with Kids,742953,Manager,Self-employed,Bangalore,no time,0
user11@yahoo.com,+91-6249467210,375,26-35,Married with Kids,484332,Engineer,MNC,Hyderabad,no time,0
user12@gmail.com,+91-7972458954,620,36-50,Married,697883,Sales Rep,MNC,Ahmedabad,maybe later,0
user13@outlook.com,+91-9720198231,732,26-35,Married,118018,Sales Rep,Government,Hyderabad,maybe later,0
user14@gmail.com,+91-7433267572,408,18-25,Single,900525,Manager,Startup,Delhi,price too high,0
user15@yahoo.com,+91-8581769315,821,26-35,Married with Kids,209972,Sales Rep,Government,Hyderabad,interested,1
user16@testmail.com,+91-6613608295,346,18-25,Married with Kids,954511,Freelancer,MNC,Pune,not interested,0
user17@gmail.com,+91-9041148567,678,51+,Single,902550,Unemployed,MNC,Mumbai,keen to buy,0
user18@testmail.com,+91-8795544706,395,26-35,Married with Kids,435033,Teacher,MNC,Ahmedabad,urgent,1
user19@testmail.com,+91-6088409749,402,51+,Married with Kids,556435,Sales Rep,Self-employed,Bangalore,price too high,0
user20@yahoo.com,+91-6242285876,445,18-25,Single,637637,Freelancer,Government,Bangalore,price too high,0
user21@outlook.com,+91-9100961111,326,18-25,Married,690592,Unemployed,Government,Bangalore,call me,0
user22@outlook.com,+91-9575313899,829,36-50,Married,638451,Manager,MNC,Hyderabad,interested,1
user23@testmail.com,+91-6911989541,381,36-50,Married,901527,Sales Rep,Government,Mumbai,urgent,1
user24@testmail.com,+91-6003344769,727,26-35,Single,744740,Sales Rep,MNC,Hyderabad,price too high,1
user25@testmail.com,+91-6780932287,778,18-25,Married,360583,Doctor,MNC,Hyderabad,urgent,0
user26@gmail.com,+91-6787716372,461,18-25,Single,561355,Manager,Government,Ahmedabad,urgent,1
user27@gmail.com,+91-8652062880,701,36-50,Single,952959,Manager,Startup,Pune,price too high,1
user28@yahoo.com,+91-7306710475,807,18-25,Married with Kids,667276,Freelancer,MNC,Ahmedabad,price too high,1
user29@gmail.com,+91-8627030329,337,26-35,Married with Kids,945305,Doctor,MNC,Pune,not interested,0
user30@testmail.com,+91-8253811733,810,36-50,Married,575624,Doctor,Government,Ahmedabad,maybe later,1
user31@outlook.com,+91-6030349564,692,18-25,Single,829075,Freelancer,Government,Ahmedabad,call me,0
user32@yahoo.com,+91-7855189739,793,18-25,Married,235224,Teacher,Government,Hyderabad,urgent,0
user33@yahoo.com,+91-6099052376,499,18-25,Married,149663,Sales Rep,MNC,Ahmedabad,no time,0
user34@outlook.com,+91-7250819632,554,51+,Married with Kids,979863,Engineer,Startup,Delhi,urgent,1
user35@outlook.com,+91-8253890010,478,26-35,Married,192263,Engineer,Startup,Delhi,keen to buy,0
user36@testmail.com,+91-8627888186,846,51+,Married,782540,Doctor,Startup,Delhi,interested,0
user37@testmail.com,+91-7717389822,688,26-35,Married with Kids,875745,Manager,MNC,Ahmedabad,call me,1
user38@outlook.com,+91-6599121577,697,36-50,Married,952702,Manager,Government,Hyderabad,just exploring,0
user39@yahoo.com,+91-6200427519,457,18-25,Married,171214,Freelancer,Startup,Mumbai,interested,0
user40@yahoo.com,+91-7254751707,303,26-35,Single,321554,Teacher,Startup,Delhi,price too high,0
user41@testmail.com,+91-7573512143,466,36-50,Married,782009,Engineer,Startup,Pune,not interested,0
user42@testmail.com,+91-6999745294,767,36-50,Married with Kids,278568,Unemployed,MNC,Bangalore,not interested,0
user43@outlook.com,+91-7958805693,708,36-50,Married with Kids,556498,Unemployed,Government,Bangalore,just exploring,1
user44@testmail.com,+91-6389151677,711,36-50,Single,301309,Freelancer,Self-employed,Hyderabad,keen to buy,0
user45@gmail.com,+91-9372305070,503,18-25,Married with Kids,456461,Freelancer,Government,Bangalore,ready to close,0
user46@outlook.com,+91-8655947709,493,26-35,Married with Kids,295975,Manager,Government,Hyderabad,price too high,0
user47@yahoo.com,+91-6857592370,534,26-35,Married with Kids,375204,Teacher,Government,Bangalore,not interested,0
user48@testmail.com,+91-7642661739,449,51+,Married,175558,Teacher,Startup,Mumbai,not interested,0
user49@testmail.com,+91-8208620086,458,26-35,Single,708067,Doctor,Government,Mumbai,price too high,0
user50@testmail.com,+91-8544401215,578,51+,Single,867779,Engineer,Startup,Mumbai,just exploring,0
user51@gmail.com,+91-8004731384,703,26-35,Single,887348,Teacher,MNC,Mumbai,urgent,1
user52@testmail.com,+91-6199502978,610,36-50,Single,614813,Teacher,Self-employed,Delhi,urgent,1
user53@yahoo.com,+91-9693415908,367,26-35,Married with Kids,516864,Teacher,MNC,Pune,urgent,1
user54@testmail.com,+91-8609385266,762,26-35,Married,598201,Unemployed,MNC,Mumbai,keen to buy,1
user55@outlook.com,+91-8921898630,387,36-50,Married with Kids,537351,Engineer,Self-employed,Ahmedabad,interested,1
user56@yahoo.com,+91-6732395540,516,26-35,Married with Kids,282886,Doctor,Government,Delhi,keen to buy,0
user57@testmail.com,+91-7934879560,300,51+,Married with Kids,733418,Sales Rep,Government,Hyderabad,keen to buy,0
user58@gmail.com,+91-6279394470,434,36-50,Married with Kids,574607,Manager,Startup,Bangalore,keen to buy,1
user59@outlook.com,+91-6056972561,650,26-35,Single,945013,Unemployed,Government,Bangalore,just exploring,0
user60@outlook.com,+91-8419304461,439,51+,Single,716560,Freelancer,Self-employed,Delhi,no time,0
user61@testmail.com,+91-9472040177,432,36-50,Married,363479,Freelancer,MNC,Ahmedabad,not interested,0
user62@outlook.com,+91-7655351289,477,36-50,Married with Kids,454872,Engineer,Government,Ahmedabad,call me,1
user63@gmail.com,+91-7308306184,657,18-25,Single,547418,Unemployed,Startup,Bangalore,interested,0
user64@yahoo.com,+91-6068574553,679,26-35,Married,225823,Engineer,MNC,Ahmedabad,just exploring,0
user65@gmail.com,+91-6419498548,749,36-50,Married with Kids,424708,Unemployed,MNC,Mumbai,keen to buy,1
user66@gmail.com,+91-6991681409,762,51+,Married with Kids,346521,Freelancer,Startup,Bangalore,keen to buy,0
user67@testmail.com,+91-8938758483,407,26-35,Single,358985,Engineer,MNC,Mumbai,keen to buy,0
user68@gmail.com,+91-7035196507,421,18-25,Married with Kids,635180,Sales Rep,Startup,Mumbai,call me,0
user69@yahoo.com,+91-7890440558,316,26-35,Married with Kids,610035,Manager,Startup,Bangalore,price too high,1
user70@outlook.com,+91-8934594491,495,18-25,Single,350574,Manager,Self-employed,Delhi,no time,0
user71@yahoo.com,+91-6524150214,626,36-50,Married,886149,Teacher,Self-employed,Hyderabad,maybe later,0
user72@outlook.com,+91-8619915691,617,36-50,Married,536129,Freelancer,Government,Delhi,price too high,0
user73@testmail.com,+91-8126768636,778,26-35,Single,911956,Freelancer,Self-employed,Pune,no time,0
user74@testmail.com,+91-9578544903,551,51+,Single,690125,Freelancer,MNC,Pune,ready to close,0
user75@outlook.com,+91-6147697582,802,26-35,Married,599260,Teacher,Government,Mumbai,price too high,1
user76@gmail.com,+91-6744595490,418,36-50,Married,588664,Freelancer,Government,Mumbai,interested,0
user77@outlook.com,+91-9905501389,797,18-25,Single,716988,Doctor,Startup,Delhi,not interested,0
user78@gmail.com,+91-7679592528,785,26-35,Single,546062,Unemployed,Self-employed,Delhi,call me,1
user79@outlook.com,+91-7111451555,344,51+,Single,343803,Engineer,Startup,Mumbai,call me,0
user80@testmail.com,+91-6782698033,613,18-25,Married with Kids,987437,Doctor,Government,Ahmedabad,call me,1
user81@testmail.com,+91-8845511527,478,26-35,Single,797795,Engineer,Startup,Hyderabad,maybe later,0
user82@yahoo.com,+91-9244252547,717,26-35,Married with Kids,583941,Unemployed,MNC,Hyderabad,keen to buy,1
user83@testmail.com,+91-7338788865,377,18-25,Married,220902,Manager,MNC,Pune,call me,0
user84@testmail.com,+91-7826030589,625,26-35,Married,695468,Unemployed,Government,Ahmedabad,maybe later,0
user85@testmail.com,+91-8233675141,656,18-25,Single,629808,Freelancer,MNC,Hyderabad,not interested,0
user86@yahoo.com,+91-6893102645,715,51+,Single,133436,Unemployed,Self-employed,Bangalore,maybe later,0
user87@outlook.com,+91-8348102761,814,36-50,Married,626416,Doctor,Government,Mumbai,keen to buy,1
user88@gmail.com,+91-8438254339,513,26-35,Married,312067,Manager,Self-employed,Delhi,maybe later,0
user89@gmail.com,+91-6793943861,373,36-50,Married,336114,Unemployed,MNC,Mumbai,ready to close,0
user90@outlook.com,+91-6134489564,808,18-25,Married,182137,Teacher,Startup,Bangalore,ready to close,0
user91@testmail.com,+91-9617585553,631,26-35,Single,160275,Freelancer,Self-employed,Hyderabad,urgent,0
user92@testmail.com,+91-9329170137,392,26-35,Married with Kids,764300,Unemployed,Self-employed,Mumbai,urgent,1
